label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
64K,5461,65536,16384,45810.2,45810.2,45810.2,15270.1,15270.1,15270.1,22905.1,22905.1,22905.1,22905.1,22905.1,22905.1,2200,53.0
72K,6144,73728,14563,51539.6,51539.6,51539.6,17179.9,17179.9,17179.9,25769.8,25769.8,25769.8,25769.8,25769.8,25769.8,2200,54.0
81K,6912,82944,12945,28991.0,28991.0,28991.0,14495.5,14495.5,14495.5,21743.3,21743.3,21743.3,21743.3,21743.3,21743.3,2200,54.0
91K,7765,93184,11522,32568.8,32568.8,32568.8,16284.4,16284.4,16284.4,24426.6,24426.6,24426.6,24426.6,24426.6,24426.6,2200,54.0
102K,8704,104448,10280,36507.2,36507.2,36507.2,14602.9,14602.9,14602.9,21904.3,21904.3,21904.3,21904.3,21904.3,21904.3,2200,54.0
114K,9728,116736,9198,27201.5,27201.5,27201.5,13056.7,13056.7,13056.7,24481.3,24481.3,24481.3,19585.1,19585.1,19585.1,2200,54.0
128K,10922,131072,8192,30540.1,30540.1,30540.1,14659.3,14659.3,14659.3,21988.9,21988.9,21988.9,21988.9,21988.9,21988.9,2200,54.0
144K,12288,147456,7281,34359.7,34359.7,34359.7,14217.8,14217.8,14217.8,21326.7,21326.7,21326.7,21326.7,21326.7,21326.7,2200,54.0
161K,13738,164864,6512,28810.7,28810.7,28810.7,13968.8,13968.8,13968.8,23843.3,23843.3,23843.3,20953.2,20953.2,20953.2,2200,54.0
181K,15445,185344,5793,25912.4,25912.4,30485.2,14006.7,14006.7,14006.7,23556.7,23556.7,23556.7,21010.1,21010.1,21010.1,2200,54.0
203K,17322,207872,5165,29061.5,29061.5,29061.5,14176.3,14176.3,14176.3,21264.5,22943.3,23563.4,21264.5,21264.5,21264.5,2200,54.0
